start	end	merged	Azure AI	Google NMT	Google Gemini
634370	644820	拉麥生挪亞的時候 他也很希望這個兒子 就是傳說中的女人的後裔。	レメクがノアを産んだとき、彼はまた、この息子が伝説の女性の子孫になることを望んでいました。	レメクはノアを産んだとき、自分の息子が伝説の女性の子孫になることを望んでいました。	ラメクがノアをもうけたとき、彼はこの息子が伝説の女性の胤であることを望んでいました。
644820	648020	能夠給他們帶來安慰。	彼らに慰めをもたらすことができます。	彼らに快適さをもたらすことができます。	彼らに慰めをもたらすことができるでしょう。
648020	650000	我們繼續往下看。	次に進みましょう。	読み続けてみましょう。	続きを見ていきましょう。
650000	655500	他說：這個兒子必為我們的操作 和手中的勞苦安慰我們。	「この御子は、わたしたちの働きと手の労苦のゆえに、わたしたちを慰めてくださるであろう」と。	「この御子は、私たちの労苦や手の労苦において私たちを慰めてくださるでしょう。」と彼は言いました。	彼は言いました。「この息子は、私たちの仕事と手の労苦を慰めてくれるでしょう。」
655500	660120	這操作勞苦是因為耶和華咒詛地。	これは、主が地を呪われたからです。	主が地面を呪われたため、この作業は骨の折れる作業です。	この仕事と労苦は、ヤハウェが地を呪ったためです。
660120	668240	代表拉麥他也很希望 全地被耶和華咒詛的這個問題能夠解決。	レメク議員はまた、地上におけるエホバの呪いの問題が解決されることを望んでいました。	彼はレメクに代わって，地球全体がエホバに呪われているという問題が解決されることを望みました。	これは、ラメクが、ヤハウェによって呪われた地全体の問題が解決されることを望んでいたことを示しています。
668240	670680	他們都盼望救贖的來到。	彼らは皆、救いを待ち望んでいました。	彼らは皆、救いの到来を待ち望んでいます。	彼らは皆、救いの到来を待ち望んでいました。
670680	672860	這都是因為人犯罪的結果。	これはすべて人間の罪の結果です。	これはすべて人間の罪の結果です。	これはすべて、人間が罪を犯した結果です。
672860	676610	亞當犯罪的結果地就被咒詛了。	アダムの罪の結果として呪われました。	アダムの罪の結果、その地は呪われました。	アダムが罪を犯した結果、地は呪われました。
676610	682200	拉麥生挪亞之後，又活了五百九十五歲 並且生兒養女。	レメクはノアを生んだ後、五百九十五年生き、息子と娘をもうけた。	レメクはノアを生んだ後、さらに五百九十五年生き、息子や娘をもうけました。	ラメクはノアをもうけた後、595年間生き、息子と娘をもうけました。
682200	687460	拉麥共活了七百七十七歲777歲就死了。	レメクは777年生き、777歳で亡くなりました。	レメクは合計 777 年間生き、777 歳で亡くなりました。	ラメクは合計777歳で亡くなりました。
687460	691620	挪亞五百歲生了閃、含、雅弗。	ノアは500歳でセム、ハム、ヤペテをもうけました。	ノアが500歳のとき、彼はセム、ハム、ヤペテの父親になりました。	ノアは500歳で、セム、ハム、ヤペトをもうけました。
691620	699710	這句話的意思是說： 要嘛就是挪亞從500歲開始生小孩。	この文の意味は、ノアが500歳で子供を産み始めたかということです。	この文は次のことを意味します: いずれにしても、ノアは 500 歳のときに子供を産み始めました。	この言葉の意味は、ノアは500歳から子供をもうけ始めたか、
699710	706880	要嘛就是挪亞在500歲之前就把小孩都生完了。	ノアは500歳になる前にすべての子供を産んだか。	いずれにせよ、ノアは500歳になる前にすべての子供を産んだことになります。	ノアは500歳までに子供をすべてもうけ終えたかのどちらかです。
706880	716090	我們從接下來的幾個章節裡面會發現 應該是挪亞在500歲開始生孩子。	そして、次の数章で、ノアが500歳で子供を産み始めたことがわかります。	次の数章で、ノアは500歳で子供を産み始めるべきだったことがわかります。	次の章からわかるように、ノアは500歳から子供をもうけ始めたようです。
716090	718880	這個部分我們會再說明。	これについては、このパートで説明します。	この部分については改めて説明させていただきます。	この部分は後で説明します。
718880	720570	我們先一起來禱告。	まずは一緒に祈ることから始めましょう。	まずは一緒に祈りましょう。	一緒に祈りましょう。
720570	721600	主，讚美祢。	主よ、あなたをほめたたえてください。	主よ、あなたを讃美してください。	主よ、あなたを賛美します。
721600	726740	主，願我們世世代代都成為上帝公義的傳道者。	主よ、わたしたちが代々にわたって神の義を宣べ伝える者となれますように。	主よ、私たちがあらゆる世代を通じて神の義に仕えることができますように。	主よ、私たちが世代を超えて、神の公義の伝道者になりますように。
726740	732310	主，願我們生命活著不在於活得長或短。	主よ、長く生きたり短く生きたりすることで生きないように。	主よ、私たちの人生が長生きか短命かによって決まりませんように。	主よ、私たちの人生が、長く生きるか短く生きるかではなく、
732310	734280	而是在於活著有沒有品質。	それは、人生に質があるかどうかです。	それは人生に質があるかどうかにかかっています。	質の高い人生になりますように。
734280	736860	在於活著是不是與神同行。	それは神と共に生きることです。	それは生きることが神とともに歩むかどうかにかかっています。	神と共に歩む人生になりますように。
736860	738300	謝謝主。	主よ、ありがとうございます。	主様、ありがとうございます。	ありがとうございます。
738300	743820	主耶穌，祢是那位應許裡面 女人的後裔、女人的種子。	主イエス様、あなたはそれを約束された女の子孫です。	主イエスよ、あなたは約束における女の子孫です。	主イエスよ、あなたは約束の中の女性の胤、女性の種です。
743820	746270	祢傷了魔鬼的頭。	悪魔の頭を傷つけた。	あなたは悪魔の頭を傷つけました。	あなたは悪魔の頭を傷つけました。
746270	749500	祢在十字架上為我們受了苦難。	あなたは私たちのために十字架で苦しんでくださいました。	あなたは私たちのために十字架で苦しんでくださいました。	あなたは十字架上で私たちのために苦しみを受けました。
749500	753730	拯救我們、安慰我們 使我們離開罪的咒詛。	私たちを救い、慰め、罪の呪いから遠ざけてください。	私たちを救い、慰め、罪の呪いから救い出してください。	あなたは私たちを救い、私たちを慰め、私たちを罪の呪いから解放しました。
753730	757530	使這個世界也不再成為被咒詛的對象。	世界がもはや呪いにならないように。	この世界が呪いの対象でなくなるように。	この世界がもはや呪われたものにならないようにしてください。
757530	758360	謝謝祢。	ありがとうございます。	ありがとう。	ありがとうございます。
758360	761320	祢是我們生命中真正的安慰者。	あなたは私たちの人生の真の慰め主です。	あなたは私たちの人生における真の慰め者です。	あなたは私たちの人生における真の慰め主です。
761320	762990	真正的救贖者。	真の贖い主。	真の救世主。	真の救い主です。
762990	765640	奉耶穌基督的名禱告，阿們。	イエス・キリストの御名によって、アーメン、祈ります。	イエス・キリストの御名において、アーメン。	主イエス・キリストの名によって祈ります。アーメン。
765640	767640	願神賜福大家。	神があなた方全員を祝福してくださいますように。	神が皆さんを祝福してくださいますように。	神が皆さんを祝福されますように。
